station,validUTC,levelcode,pressure_mb,height_m,tmpc,dwpc,drct,speed_kts,bearing,range_sm
KILN,2010-10-23 12:00:00,5,86.9,17203.0,-66.1,-75.1,M,M,M,M
KILN,2010-10-23 12:00:00,5,82.5,17519.0,-64.1,-73.1,M,M,M,M
KILN,2010-10-23 12:00:00,6,72.7,18288.0,M,M,285.0,22,101.0,31.0
KILN,2010-10-23 12:00:00,5,71.8,18365.0,-65.3,-74.3,M,M,M,M
KILN,2010-10-23 12:00:00,4,70.0,18520.0,-64.7,-73.7,285.0,23,101.0,31.0
KILN,2010-10-23 12:00:00,5,61.7,19290.0,-63.5,-73.5,M,M,M,M
KILN,2010-10-23 12:00:00,5,59.4,19522.0,-64.9,-73.9,M,M,M,M
KILN,2010-10-23 12:00:00,5,54.6,20037.0,-62.9,-72.9,M,M,M,M
KILN,2010-10-23 12:00:00,5,53.0,20220.0,-60.9,-71.9,M,M,M,M
KILN,2010-10-23 12:00:00,4,50.0,20590.0,-60.5,-71.5,280.0,19,101.0,34.0
KILN,2010-10-23 12:00:00,6,46.6,21031.0,M,M,285.0,13,101.0,34.0
KILN,2010-10-23 12:00:00,5,44.4,21327.0,-60.9,-71.9,M,M,M,M
KILN,2010-10-23 12:00:00,6,44.3,21336.0,M,M,275.0,24,101.0,34.0
KILN,2010-10-23 12:00:00,5,43.1,21512.0,-59.3,-70.3,M,M,M,M
KILN,2010-10-23 12:00:00,6,42.2,21640.0,M,M,265.0,29,101.0,35.0
KILN,2010-10-23 12:00:00,5,41.1,21808.0,-59.9,-70.9,M,M,M,M
KILN,2010-10-23 12:00:00,6,40.2,21945.0,M,M,290.0,23,101.0,35.0
KILN,2010-10-23 12:00:00,5,38.5,22218.0,-56.9,-68.9,M,M,M,M
KILN,2010-10-23 12:00:00,6,38.3,22250.0,M,M,270.0,18,101.0,36.0
KILN,2010-10-23 12:00:00,6,34.8,22860.0,M,M,260.0,32,100.0,36.0
KILN,2010-10-23 12:00:00,6,31.6,23469.0,M,M,265.0,26,100.0,37.0
KILN,2010-10-23 12:00:00,5,30.6,23674.0,-55.3,-68.3,M,M,M,M
KILN,2010-10-23 12:00:00,4,30.0,23810.0,-54.1,-68.1,255.0,23,100.0,38.0
KILN,2010-10-23 12:00:00,5,29.7,23874.0,-53.7,-67.7,M,M,M,M
KILN,2010-10-23 12:00:00,6,27.4,24384.0,M,M,235.0,25,99.0,38.0
KILN,2010-10-23 12:00:00,6,26.1,24688.0,M,M,270.0,31,99.0,39.0
